i	height	delta	push_m	rock_m	push_i
1	0	0	0	1	0
2	3	3	4	2	4
3	6	3	8	3	8
4	10	4	12	4	12
5	10	0	16	0	16
6	11	1	28	1	28
7	14	3	32	2	32
8	17	3	36	3	36
9	17	0	40	4	40
10	19	2	57	0	57
11	19	0	61	1	61
12	19	0	69	2	69
13	22	3	76	3	76
14	24	2	80	4	80
15	24	0	86	0	86
16	25	1	95	1	95
17	27	2	99	2	99
18	28	1	104	3	104
19	30	2	110	4	110
20	30	0	116	0	116
21	31	1	123	1	123
22	33	2	127	2	127
23	34	1	132	3	132
24	37	3	138	4	138
25	39	2	143	0	143
26	40	1	147	1	147
27	43	3	151	2	151
28	46	3	155	3	155
29	46	0	159	4	159
30	48	2	167	0	167
31	48	0	171	1	171
32	51	3	177	2	177
33	51	0	181	3	181
34	52	1	189	4	189
35	54	2	196	0	196
36	55	1	200	1	200
37	58	3	204	2	204
38	58	0	208	3	208
39	60	2	215	4	215
40	60	0	221	0	221
41	61	1	227	1	227
42	63	2	231	2	231
43	64	1	236	3	236
44	66	2	242	4	242
45	66	0	248	0	248
46	67	1	255	1	255
47	70	3	259	2	259
48	73	3	263	3	263
49	77	4	267	4	267
50	77	0	271	0	271
51	78	1	281	1	281
52	78	0	285	2	285
53	81	3	295	3	295
54	85	4	299	4	299
55	85	0	303	0	303
56	85	0	317	1	317
57	88	3	327	2	327
58	91	3	331	3	331
59	93	2	335	4	335
60	93	0	341	0	341
61	94	1	351	1	351
62	96	2	355	2	355
63	98	2	360	3	360
64	100	2	365	4	365
65	100	0	371	0	371
66	101	1	381	1	381
67	104	3	385	2	385
68	107	3	389	3	389
69	111	4	393	4	393
70	111	0	397	0	397
71	112	1	416	1	416
72	115	3	420	2	420
73	115	0	424	3	424
74	117	2	431	4	431
75	117	0	437	0	437
76	118	1	443	1	443
77	121	3	447	2	447
78	124	3	451	3	451
79	124	0	455	4	455
80	124	0	469	0	469
81	125	1	475	1	475
82	128	3	479	2	479
83	128	0	483	3	483
84	132	4	490	4	490
85	132	0	494	0	494
86	132	0	502	1	502
87	134	2	508	2	508
88	137	3	513	3	513
89	137	0	517	4	517
90	137	0	527	0	527
91	138	1	533	1	533
